capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-07-03 14:49:23,1.02,17.97,14.01,31.47
2018-07-03 15:04:23,1.02,18.56,13.88,31.73
2018-07-03 15:19:23,1.02,19.08,13.74,32.18
2018-07-03 15:34:23,1.02,19.4,13.61,31.96
2018-07-03 15:49:23,1.02,19.01,13.48,31.2
2018-07-03 16:04:23,1.02,18.1,13.48,30.98
2018-07-03 16:19:23,1.02,16.6,13.61,30.67
2018-07-03 16:34:23,1.02,15.0,13.48,30.19
2018-07-03 16:49:23,1.02,13.66,13.22,29.35
2018-07-03 17:04:23,1.02,11.99,13.09,28.69
2018-07-03 17:19:23,1.02,9.63,12.83,28.07
2018-07-03 17:34:23,1.02,6.18,12.83,27.0
2018-07-03 17:49:23,1.02,3.47,13.21,25.2
2018-07-03 18:04:23,1.02,2.23,13.08,24.61
2018-07-03 18:19:23,1.02,1.78,12.95,23.97
2018-07-03 18:34:23,1.02,1.59,12.95,23.6
2018-07-03 18:49:23,1.02,1.39,13.33,23.37
2018-07-03 19:04:23,1.02,1.18,13.07,22.91
2018-07-03 19:19:23,1.02,0.93,13.07,22.68
2018-07-03 19:34:23,1.02,0.63,12.81,22.3
2018-07-03 19:49:23,1.02,0.3,13.07,21.97
2018-07-03 20:04:23,1.02,0.1,13.07,21.74
2018-07-03 20:19:23,1.02,0.1,12.94,21.64
2018-07-03 20:34:23,1.02,0.1,12.94,21.45
2018-07-03 20:49:23,1.02,0.1,12.68,21.31
2018-07-03 21:04:23,1.02,0.1,12.94,21.22
2018-07-03 21:19:23,1.02,0.1,12.94,21.31
2018-07-03 21:34:23,1.02,0.1,12.68,21.12
2018-07-03 21:49:23,1.02,0.1,12.94,21.03
2018-07-03 22:04:23,1.02,0.1,12.68,20.98
2018-07-03 22:19:23,1.02,0.1,12.93,20.93
2018-07-03 22:34:23,1.02,0.1,13.19,20.88
2018-07-03 22:49:23,1.02,0.1,12.93,20.74
2018-07-03 23:04:23,1.02,0.1,13.06,20.69
2018-07-03 23:19:23,1.02,0.1,12.67,20.64
2018-07-03 23:34:23,1.02,0.1,12.42,20.74
2018-07-03 23:49:23,1.02,0.1,12.67,21.03
2018-07-04 00:04:23,1.02,0.1,13.06,20.83
2018-07-04 00:19:23,1.02,0.1,13.06,20.64
2018-07-04 00:34:23,1.02,0.1,12.8,20.98
2018-07-04 00:49:23,1.02,0.1,12.8,21.12
2018-07-04 01:04:23,1.02,0.1,13.06,21.17
2018-07-04 01:19:23,1.02,0.1,12.8,20.93
2018-07-04 01:34:23,1.02,0.1,12.54,20.64
2018-07-04 01:49:23,1.02,0.1,13.06,20.55
2018-07-04 02:04:23,1.02,0.1,12.54,20.45
2018-07-04 02:19:23,1.02,0.1,13.06,20.3
2018-07-04 02:34:23,1.02,0.1,12.54,20.21
2018-07-04 02:49:23,1.02,0.1,12.8,20.11
2018-07-04 03:04:23,1.02,0.1,12.8,20.06
2018-07-04 03:19:23,1.02,0.1,12.54,19.92
2018-07-04 03:34:23,1.02,0.1,12.67,19.92
2018-07-04 03:49:23,1.02,0.1,12.54,19.92
2018-07-04 04:04:23,1.02,0.1,12.54,19.82
2018-07-04 04:19:23,1.02,0.1,12.93,19.72
2018-07-04 04:34:23,1.02,0.1,12.28,19.72
2018-07-04 04:49:23,1.02,0.1,12.92,19.57
2018-07-04 05:04:23,1.02,0.1,12.67,19.57
2018-07-04 05:19:23,1.02,0.1,12.28,19.48
2018-07-04 05:34:23,1.02,0.41,12.79,19.48
2018-07-04 05:49:23,1.02,0.76,12.41,19.53
2018-07-04 06:04:23,1.02,1.09,12.54,19.82
2018-07-04 06:19:23,1.02,1.36,12.41,19.96
2018-07-04 06:34:23,1.02,1.58,12.66,20.26
2018-07-04 06:49:23,1.02,1.79,12.79,20.55
2018-07-04 07:04:23,1.02,1.97,12.54,20.88
2018-07-04 07:19:23,1.02,3.21,12.28,21.45
2018-07-04 07:34:23,1.02,3.89,12.54,22.26
2018-07-04 07:49:23,1.02,2.8,12.28,22.21
2018-07-04 08:04:23,1.02,11.24,12.02,23.05
2018-07-04 08:19:23,1.02,8.83,12.02,24.25
2018-07-04 08:34:23,1.02,6.54,11.76,23.51
2018-07-04 08:49:23,1.02,6.31,12.28,23.7
2018-07-04 09:04:23,1.02,11.07,11.89,24.43
2018-07-04 09:19:23,1.02,10.28,12.15,26.82
2018-07-04 09:34:23,1.02,9.66,12.15,25.79
2018-07-04 09:49:23,1.02,11.44,12.15,25.7
2018-07-04 10:04:23,1.02,18.29,11.89,28.55
2018-07-04 10:19:23,1.02,147.27,11.63,33.96
2018-07-04 10:34:23,1.02,155.19,11.63,38.22
2018-07-04 10:49:23,1.02,23.52,11.75,42.67
2018-07-04 11:04:23,1.02,103.25,11.1,42.97
2018-07-04 11:19:23,1.02,163.98,11.22,49.82
2018-07-04 11:34:23,1.02,95.39,10.96,49.18
2018-07-04 11:49:23,1.02,168.75,11.35,46.52
2018-07-04 12:04:23,0.85,15.07,30.06,32.89
